id,event_description,category,district,priority
1,"ДТП на перекрестке Светланской и Алеутской. Движение затруднено.",ДТП,Центр,высокая
2,"Отключение электроэнергии в районе Второй Речки.",ЖКХ,Вторая Речка,средняя
3,"Подтопление проезжей части после сильного дождя.",ЖКХ,Центр,средняя
4,"Не работает светофор возле школы №52.",Дорожная инфраструктура,Первая Речка,высокая
5,"Повреждение теплотрассы на улице Русской.",ЖКХ,Советский,высокая
6,"Пожар в складском помещении промышленной зоны.",Пожар,Промзона,высокая
7,"Жители сообщили о повреждении дорожного покрытия.",Дорожная инфраструктура,Центр,средняя
8,"На остановке общественного транспорта сломался павильон.",Городская среда,Вторая Речка,низкая
9,"На улице отсутствует освещение в вечернее время.",ЖКХ,Советский,средняя
10,"Обнаружена незаконная свалка возле жилого дома.",Экология,Центр,средняя
11,"Порыв трубы привел к подтоплению двора.",ЖКХ,Первая Речка,высокая
12,"На дороге образовалась большая яма.",Дорожная инфраструктура,Советский,средняя
13,"Сильный ветер повредил рекламную конструкцию.",Городская среда,Центр,средняя
14,"На перекрестке произошло столкновение автобуса и автомобиля.",ДТП,Центр,высокая
15,"В жилом доме временно отсутствует горячая вода.",ЖКХ,Вторая Речка,низкая
16,"Во дворе не вывозят мусор несколько дней.",Экология,Советский,средняя
17,"Поврежден пешеходный переход возле школы.",Дорожная инфраструктура,Первая Речка,высокая
18,"Сообщение о задымлении в торговом центре.",Пожар,Центр,высокая
19,"На участке дороги не работает ливневая канализация.",ЖКХ,Центр,средняя
20,"Нарушена работа общественного транспорта из-за пробки.",Транспорт,Центр,средняя
21,"На детской площадке повреждены качели.",Городская среда,Вторая Речка,низкая
22,"В районе зафиксировано повторное отключение света.",ЖКХ,Советский,средняя
23,"На дороге после ремонта отсутствует разметка.",Дорожная инфраструктура,Центр,низкая
24,"Пожарные ликвидировали возгорание автомобиля.",Пожар,Первая Речка,высокая
25,"Из-за аварии на водопроводе ограничена подача воды.",ЖКХ,Центр,высокая
26,"В парке повреждено наружное освещение.",Городская среда,Советский,низкая
27,"ДТП с участием такси произошло на мосту.",ДТП,Центр,высокая
28,"Жители жалуются на шум от строительной площадки.",Городская среда,Вторая Речка,низкая
29,"На улице обнаружено подтопление тротуара.",ЖКХ,Первая Речка,средняя
30,"Автобусы задерживаются из-за ремонта дороги.",Транспорт,Советский,средняя
